names,clubs,ages,Apps,Mins,Tackles,Inter,Fouls,Offsides,Clear,Blocks,OwnG,Rating,Goals,Assists,SpG,KeyP,Drb,Fouled,Off,Disp,UnsTch,AvgP,PS%,Crosses,LongB,ThrB,AerialsWon,MotM
Fran Beltrán,Celta Vigo,24,28,2272,1,1.5,0.8,0,1,0.1,0,6.50,0,1,0.8,0.6,0.5,0.4,0.1,0.5,0.7,50.6,90.2,0.4,3,0,0.5,0
Gianluca Scamacca,West Ham,24,27,1254,0.5,0.3,1.1,0,0.3,0,0,6.42,4,0,1.7,0.6,0.3,0.5,0.5,0.8,1.4,10.4,66.3,0,0.7,0,1,0
Jean-Eudes Aholou,Strasbourg,29,26,1164,1.3,1,1.4,0,0.4,0,0,6.50,3,1,0.8,0.3,0.6,0.9,0,0.5,1.2,21.2,76,0,1,0.1,0.9,1
Andrea Petagna,Monza,27,25,1358,0.3,0.1,0.8,0,0.7,0.2,0,6.50,3,4,1.3,1,0.8,1,0.3,1.5,2.3,15,74,0,0.5,0.1,1.3,1
Mateo Kovacic,Chelsea,28,46,3309,1.9,0.7,0.6,0,0.6,0.1,0,6.73,4,1,0.9,1,1,0.8,0,1,1.2,55.9,87.8,0,1.9,0.2,0.4,1
Manolo Gabbiadini,Sampdoria,31,29,1646,0.4,0.1,1,0,0.8,0,0,6.48,6,1,2.1,0.6,0.1,1.9,0.4,0.8,1.6,14.9,69.4,0.1,0.2,0,1.4,2
Pedro Chirivella,Nantes,25,34,2374,1,0.8,0.4,0,0.2,0,0,6.43,0,2,0.5,0.9,0.3,0.6,0,0.3,0.3,51,86.7,0.1,4.5,0,0.3,0
Rui Patrício,Roma,35,44,3780,0,0,0,0,0.2,0,0,6.54,0,0,0,0,0,0,0,0,0,22.6,73.4,0,5.1,0,0,0
Marcel Halstenberg,RBL,31,31,1446,1.2,0.8,0.6,0.1,0.8,0,0,6.50,2,2,0.3,0.5,0.3,0.3,0,0.3,0.6,33,81.7,0.5,1,0,0.8,0
Yoann Cathline,Lorient,20,23,907,1.1,0.4,0.5,0,0.6,0.1,0,6.50,1,1,1.4,0.4,1.2,1.4,0.1,1.2,2.1,13.7,72.5,0.4,0.3,0,0.1,0
Tyrick Mitchell,Crystal Palace,23,30,2322,1.9,1.1,0.8,0.2,1.8,0.3,0,6.50,0,2,0.1,0.4,0.4,0.3,0.1,0.6,1,30.2,69.8,0.3,1.1,0,0.7,0
Benno Schmitz,FC Koln,28,27,1958,2.3,0.9,1,0.1,1.8,0.2,2,6.50,1,0,0.3,0.8,0.1,0.6,0,0.2,0.8,34.5,63.3,0.8,1.7,0,1,0
Dany Mota,Monza,24,20,1208,0.3,0.1,0.7,0,0.8,0.1,0,6.50,3,0,0.9,0.9,1,1.1,0.6,1.3,2.7,17.5,73.4,0.3,0.6,0,1.1,0
Stephy Mavididi,Montpellier,24,18,993,1,0.2,0.8,0,0.5,0,0,6.50,2,1,1.5,0.4,1.3,0.7,0.2,1.4,1.8,13,75.6,0.1,0.2,0.1,0.4,0
Vanja Milinkovic-Savic,Torino,26,41,3420,0.1,0.1,0,0,0.9,0,0,6.56,0,0,0,0,0,0.1,0,0,0.1,38.7,59.6,0,7.3,0,0.3,1
Srdjan Babic,Almeria,26,28,2308,0.8,0.9,0.7,1.1,2.7,0.6,0,6.47,3,0,0.3,0.2,0.1,0.1,0,0,0.3,39.8,85.3,0,2.3,0,1.6,0
